2026-04-14 09:41:45,669 | INFO | app.services.service | Chargement des bundles modèles
2026-04-14 09:41:45,670 | INFO | app.services.service | Chemin modèle fréquence : app/data/models/model_frequence.pkl
2026-04-14 09:41:45,670 | INFO | app.services.service | Chemin modèle sévérité : app/data/models/model_severite.pkl
2026-04-14 09:41:57,666 | INFO | app.services.service | Bundles chargés avec succès
2026-04-14 09:41:57,667 | INFO | app.services.service | Chargement des bundles modèles
2026-04-14 09:41:57,667 | INFO | app.services.service | Chemin modèle fréquence : app/data/models/model_frequence.pkl
2026-04-14 09:41:57,667 | INFO | app.services.service | Chemin modèle sévérité : app/data/models/model_severite.pkl
2026-04-14 09:41:57,669 | INFO | app.services.service | Bundles chargés avec succès
2026-04-14 09:42:43,059 | INFO | app.services.service | Prédiction de fréquence lancée
2026-04-14 09:42:43,070 | INFO | app.services.service | Feature engineering terminé
2026-04-14 09:42:45,440 | INFO | app.services.service | Prédiction fréquence réussie : 0.060033
2026-04-14 09:42:45,441 | INFO | app.services.service | Prédiction de sévérité lancée
2026-04-14 09:42:45,449 | INFO | app.services.service | Feature engineering terminé
2026-04-14 09:42:45,464 | INFO | app.services.service | Prédiction sévérité réussie : 1431.68
2026-04-14 09:43:12,768 | INFO | app.services.service | Prédiction de fréquence lancée
2026-04-14 09:43:12,775 | INFO | app.services.service | Feature engineering terminé
2026-04-14 09:43:12,803 | INFO | app.services.service | Prédiction fréquence réussie : 0.060033
2026-04-14 09:43:12,809 | INFO | app.services.service | Prédiction de sévérité lancée
2026-04-14 09:43:12,816 | INFO | app.services.service | Feature engineering terminé
2026-04-14 09:43:12,841 | INFO | app.services.service | Prédiction sévérité réussie : 1431.68
2026-04-14 09:43:21,926 | INFO | app.services.service | Prédiction de fréquence lancée
2026-04-14 09:43:21,937 | INFO | app.services.service | Feature engineering terminé
2026-04-14 09:43:21,965 | INFO | app.services.service | Prédiction fréquence réussie : 0.060033
2026-04-14 09:43:21,967 | INFO | app.services.service | Prédiction de sévérité lancée
2026-04-14 09:43:21,980 | INFO | app.services.service | Feature engineering terminé
2026-04-14 09:43:22,001 | INFO | app.services.service | Prédiction sévérité réussie : 1431.68
2026-04-14 09:45:04,446 | INFO | app.services.service | Chargement des bundles modèles
2026-04-14 09:45:04,446 | INFO | app.services.service | Chemin modèle fréquence : app/data/models/model_frequence.pkl
2026-04-14 09:45:04,446 | INFO | app.services.service | Chemin modèle sévérité : app/data/models/model_severite.pkl
2026-04-14 09:45:05,436 | INFO | app.services.service | Bundles chargés avec succès
2026-04-14 09:45:05,437 | INFO | app.services.service | Chargement des bundles modèles
2026-04-14 09:45:05,438 | INFO | app.services.service | Chemin modèle fréquence : app/data/models/model_frequence.pkl
2026-04-14 09:45:05,438 | INFO | app.services.service | Chemin modèle sévérité : app/data/models/model_severite.pkl
2026-04-14 09:45:05,441 | INFO | app.services.service | Bundles chargés avec succès
2026-04-14 09:45:18,314 | INFO | app.services.service | Chargement des bundles modèles
2026-04-14 09:45:18,314 | INFO | app.services.service | Chemin modèle fréquence : app/data/models/model_frequence.pkl
2026-04-14 09:45:18,315 | INFO | app.services.service | Chemin modèle sévérité : app/data/models/model_severite.pkl
2026-04-14 09:45:19,179 | INFO | app.services.service | Bundles chargés avec succès
2026-04-14 09:45:19,179 | INFO | app.services.service | Chargement des bundles modèles
