iter	Passed	Remaining
0	28	14087
1	61	15277
2	78	13052
3	104	13011
4	111	11072
5	135	11153
6	147	10372
7	162	9995
8	192	10491
9	228	11207
10	260	11571
11	283	11523
12	325	12205
13	347	12069
14	379	12263
15	414	12525
16	435	12370
17	470	12587
18	505	12808
19	513	12318
20	544	12415
21	582	12662
22	615	12764
23	625	12412
24	652	12403
25	678	12378
26	696	12193
27	725	12233
28	750	12196
29	784	12286
30	812	12286
31	823	12050
32	855	12103
33	865	11868
34	893	11877
35	907	11693
36	952	11915
37	999	12153
38	1035	12236
39	1078	12404
40	1125	12603
41	1138	12411
42	1172	12463
43	1185	12280
44	1227	12414
45	1268	12523
46	1299	12521
47	1328	12510
48	1361	12531
49	1367	12311
50	1378	12134
51	1383	11921
52	1415	11939
53	1437	11871
54	1468	11880
55	1502	11915
56	1541	11976
57	1580	12046
58	1620	12113
59	1650	12105
60	1683	12114
61	1715	12119
62	1738	12058
63	1774	12086
64	1813	12137
65	1825	12006
66	1841	11903
67	1847	11736
68	1872	11698
69	1892	11623
70	1922	11618
71	1963	11671
72	1983	11601
73	1989	11454
74	2028	11496
75	2060	11494
76	2096	11516
77	2139	11574
78	2174	11588
79	2207	11589
80	2238	11579
81	2266	11554
82	2304	11579
83	2339	11583
84	2360	11523
85	2387	11495
86	2403	11411
87	2415	11309
88	2446	11296
89	2467	11241
90	2492	11203
91	2525	11201
92	2546	11145
93	2553	11028
94	2567	10944
95	2627	11055
96	2639	10964
97	2671	10957
98	2710	10977
99	2742	10969
100	2762	10913
101	2793	10898
102	2831	10912
103	2857	10881
104	2868	10790
105	2893	10756
106	2903	10665
107	2937	10662
108	2960	10619
109	2997	10626
110	3040	10654
111	3072	10644
112	3096	10603
113	3138	10625
114	3161	10583
115	3166	10483
116	3198	10470
117	3234	10471
118	3269	10467
119	3309	10481
120	3342	10470
121	3377	10463
122	3388	10386
123	3413	10349
124	3449	10347
125	3480	10330
126	3513	10320
127	3553	10327
128	3592	10331
129	3623	10313
130	3635	10239
131	3668	10226
132	3674	10138
133	3703	10116
134	3742	10117
135	3781	10122
136	3817	10114
137	3854	10111
138	3870	10051
139	3906	10044
140	3941	10035
141	3964	9994
142	4000	9987
143	4032	9968
144	4070	9966
145	4104	9950
146	4131	9922
147	4161	9897
148	4183	9854
149	4221	9850
150	4236	9792
151	4253	9738
152	4260	9661
153	4275	9606
154	4281	9530
155	4308	9500
156	4340	9483
157	4374	9469
158	4381	9396
159	4397	9344
160	4420	9307
161	4436	9255
162	4457	9216
163	4493	9206
164	4529	9196
165	4535	9125
166	4573	9120
167	4581	9053
168	4610	9030
169	4646	9019
170	4681	9007
171	4715	8993
172	4734	8948
173	4739	8880
174	4773	8865
175	4786	8810
176	4792	8744
177	4825	8728
178	4857	8710
179	4872	8662
180	4879	8598
181	4910	8580
182	4936	8550
183	4974	8542
184	5005	8522
185	5017	8470
186	5023	8408
187	5034	8355
188	5041	8295
189	5077	8284
190	5111	8268
191	5117	8208
192	5158	8205
193	5187	8182
194	5224	8171
195	5254	8149
196	5270	8105
197	5300	8085
198	5339	8076
199	5349	8024
200	5394	8024
201	5431	8012
202	5471	8004
203	5507	7991
204	5545	7980
205	5578	7962
206	5593	7917
207	5628	7901
208	5668	7892
209	5702	7874
210	5733	7853
211	5766	7834
212	5802	7817
213	5809	7764
214	5826	7723
215	5849	7690
216	5880	7669
217	5915	7652
218	5947	7631
219	5982	7613
220	6016	7594
221	6047	7572
222	6081	7554
223	6118	7539
224	6125	7486
225	6158	7466
226	6194	7449
227	6231	7434
228	6270	7420
229	6276	7367
230	6321	7361
231	6357	7344
232	6391	7324
233	6411	7288
234	6436	7257
235	6470	7238
236	6503	7216
237	6548	7208
238	6580	7186
239	6609	7160
240	6653	7150
241	6687	7129
242	6722	7110
243	6790	7123
244	6845	7124
245	6875	7098
246	6906	7073
247	6940	7052
248	6975	7031
249	7010	7010
250	7042	6986
251	7075	6963
252	7109	6941
253	7141	6916
254	7174	6893
255	7208	6870
256	7230	6836
257	7265	6814
258	7298	6791
259	7331	6767
260	7365	6744
261	7402	6724
262	7435	6700
263	7470	6678
264	7508	6658
265	7546	6638
266	7575	6610
267	7610	6588
268	7644	6564
269	7678	6541
270	7713	6517
271	7750	6496
272	7784	6472
273	7831	6459
274	7876	6444
275	7914	6423
276	7949	6399
277	7979	6372
278	8014	6348
279	8056	6330
280	8095	6309
281	8134	6288
282	8166	6261
283	8200	6236
284	8235	6212
285	8266	6185
286	8302	6161
287	8341	6140
288	8372	6112
289	8403	6085
290	8435	6058
291	8468	6032
292	8504	6008
293	8546	5988
294	8587	5967
295	8628	5946
296	8670	5926
297	8701	5898
298	8734	5871
299	8769	5846
300	8806	5822
301	8837	5793
302	8869	5766
303	8904	5741
304	8938	5714
305	8971	5688
306	9007	5662
307	9053	5643
308	9090	5619
309	9121	5590
310	9149	5560
311	9182	5532
312	9217	5506
313	9252	5480
314	9295	5459
315	9332	5434
316	9366	5406
317	9405	5383
318	9437	5355
319	9470	5327
320	9506	5301
321	9551	5279
322	9591	5255
323	9630	5231
324	9667	5205
325	9701	5178
326	9735	5150
327	9778	5127
328	9816	5102
329	9854	5076
330	9891	5050
331	9930	5024
332	9965	4997
333	9999	4969
334	10038	4944
335	10073	4916
336	10116	4893
337	10156	4867
338	10187	4838
339	10219	4809
340	10254	4781
341	10288	4753
342	10320	4723
343	10355	4696
344	10389	4667
345	10420	4637
346	10455	4609
347	10490	4582
348	10534	4557
349	10568	4529
350	10600	4499
351	10634	4471
352	10667	4442
353	10704	4414
354	10739	4386
355	10778	4359
356	10810	4330
357	10845	4301
358	10883	4274
